1000	0.002449	0.000021
2000	0.010693	0.000061
3000	0.021691	0.000115
4000	0.036201	0.000197
5000	0.059001	0.000279
6000	0.086483	0.000364
7000	0.119233	0.000461
8000	0.141900	0.000579
9000	0.174362	0.000697
10000	0.215310	0.000784
11000	0.265526	0.000889
12000	0.359481	0.001048
13000	0.377995	0.001194
14000	0.489528	0.001308
15000	0.515914	0.001460
16000	0.550519	0.001642
17000	0.702367	0.001799
18000	0.695292	0.001978
19000	0.787514	0.002104
20000	0.849156	0.001805
21000	0.930314	0.001949
22000	1.021521	0.002183
23000	1.194360	0.002343
24000	1.218128	0.002685
25000	1.322290	0.002753
26000	1.434986	0.003015
27000	1.816057	0.003873
28000	1.967577	0.004166
29000	1.810381	0.004446
30000	2.055445	0.004620
31000	2.346660	0.004822
32000	2.257139	0.004833
33000	2.616675	0.004933
34000	2.772668	0.005688
35000	2.878574	0.006250
36000	2.729467	0.006440
37000	3.114439	0.006643
38000	3.464475	0.007006
39000	3.646147	0.007279
40000	3.938272	0.007929
41000	3.976241	0.008183
42000	4.330043	0.008453
43000	4.220692	0.008837
44000	4.985622	0.009520
45000	5.149163	0.009795
46000	4.952249	0.019727
47000	4.895792	0.185198
48000	5.796567	0.568564
49000	6.143536	1.130646
50000	6.425791	1.855313
